year,district,Crime Type,Total Crime
2014,Bahawalnagar,burglaries,261
2014,Bahawalpur,burglaries,335
2014,Rahim Yar Khan,burglaries,566
2014,D.G.Khan Division,burglaries,835
2014,D.G.Khan,burglaries,162
2014,Layyah,burglaries,81
2014,Muzaffargarh,burglaries,332
2014,Rajanpur,burglaries,260
2014,Faisalabad Div.,burglaries,1398
2014,Faisalabad,burglaries,714
2014,Chiniot,burglaries,268
2014,Jhang,burglaries,186
2014,T.T.Singh,burglaries,230
2014,Gujranwala Div.,burglaries,1308
2014,Gujranwala,burglaries,538
2014,Gujrat,burglaries,222
2014,Hafizabad,burglaries,137
2014,Mandi Baha-ud-Din,burglaries,126
2014,Narowal,burglaries,55
2014,Sialkot,burglaries,230
2014,Lahore Division,burglaries,5285
2014,Kasur,burglaries,187
2014,Lahore,burglaries,4601
2014,Nankana Sahib,burglaries,92
2014,Sheikhupura,burglaries,405
2014,Multan Division,burglaries,1535
2014,Khanewal,burglaries,276
2014,Lodhran,burglaries,112
2014,Multan,burglaries,814
2014,Vehari,burglaries,333
2014,Rawalpindi Div.,burglaries,878
2014,Attock,burglaries,95
2014,Chakwal,burglaries,131
2014,Jhelum,burglaries,100
2014,Rawalpindi,burglaries,552
2014,Sahiwal Division,burglaries,1188
2014,Sahiwal,burglaries,398
2014,Okara,burglaries,578
2014,Pakpattan,burglaries,212
2014,Sargodha Div.,burglaries,658
2014,Bhakkar,burglaries,114
2014,Khushab,burglaries,57
2014,Mianwali,burglaries,66
2014,Sargodha,burglaries,421
2015,PUNJAB,burglaries,12727
2015,Bahawalpur Div.,burglaries,906
2015,Bahawalnagar,burglaries,224
2015,Bahawalpur,burglaries,283
2015,Rahim Yar Khan,burglaries,399
2015,D.G.Khan Division,burglaries,590
2015,D.G.Khan,burglaries,152
2015,Layyah,burglaries,64
2015,Muzaffargarh,burglaries,217
2015,Rajanpur,burglaries,157
2015,Faisalabad Div.,burglaries,1193
2015,Faisalabad,burglaries,598
2015,Chiniot,burglaries,222
2015,Jhang,burglaries,187
2015,T.T.Singh,burglaries,186
2015,Gujranwala Div.,burglaries,1222
2015,Gujranwala,burglaries,380
2015,Gujrat,burglaries,181
2015,Hafizabad,burglaries,91
2015,Mandi Baha-ud-Din,burglaries,155
2015,Narowal,burglaries,46
2015,Sialkot,burglaries,369
2015,Lahore Division,burglaries,5346
2015,Kasur,burglaries,173
2015,Lahore,burglaries,4619
2015,Nankana Sahib,burglaries,91
2015,Sheikhupura,burglaries,463
2015,Multan Division,burglaries,1206
2015,Khanewal,burglaries,107
2015,Lodhran,burglaries,93
2015,Multan,burglaries,714
